"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
78,"00:00:00",0.583,1.051,1.782,5.82,2.433,5.224,8.677,7.953,8.278,1.806
171,"00:00:00",2.729,7.195,4.899,3.263,5.566,6.721,8.321,1.602,2.415,1.346
90,"00:00:00",1.341,1.292,0.224,2.438,6.103,0.811,5.907,9.303,5.211,3.197
43,"00:00:00",0.575,6.305,2.785,9.777,8.693,1.115,8.314,4.221,0.782,5.871
145,"00:00:00",1.74,7.805,7.441,4.171,7.023,0.604,4.799,0.7,3.308,3.01
122,"00:00:00",7.69,0.04,8.576,3.574,7.633,3.765,6.169,0.603,9.398,1.574
188,"00:00:00",3.644,2.085,4.918,6.378,1.411,5.198,6.651,8.377,9.858,8.075
38,"00:00:00",7.375,6.641,2.643,8.074,9.396,7.592,5.783,3.563,5.76,4.405
158,"00:00:00",1.011,4.034,0.851,4.756,2.85,5.722,1.035,7.191,1.532,7.799
183,"00:00:00",8.058,4.622,6.844,6.638,5.474,0.498,6.274,7.282,7.216,7.987
