"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
43,"00:00:00",3.47,0.449,4.07,3.276,7.765,4.117,9.63,5.168,7.593,4.168
18,"00:00:00",7.339,2.837,9.509,3.772,9.747,4.558,9.135,0.19,3.415,5.13
37,"00:00:00",8.272,8.988,0.938,9.151,6.45,9.736,9.158,1.403,7.489,6.756
161,"00:00:00",4.009,6.755,9.457,6.293,6.624,3.881,3.177,6.555,0.308,9.521
54,"00:00:00",7.164,0.58,5.384,2.043,4.136,5.861,3.907,0.136,0.501,7.652
195,"00:00:00",9.422,0.253,3.047,2.45,1.026,2.917,8.048,5.277,3.327,1.727
124,"00:00:00",2.255,1.796,0.324,7.907,9.394,6.769,3.96,5.085,0.435,3.803
87,"00:00:00",8.087,8.322,3.11,9.74,7.86,9.481,2.549,0.395,7.742,7.166
15,"00:00:00",7.995,0.151,5.149,6.532,0.461,5.37,6.424,5.297,7.95,2.816
49,"00:00:00",0.944,8.309,1.101,0.746,3.16,7.219,4.597,5.655,5.38,7.886
